ตัวชี้วัด,จำนวน_คน,เป้าหมาย,ร้อยละ_เทียบเป้าหมาย,หมายเหตุ
จำนวนแพทย์เวชศาสตร์ครอบครัวทั้งหมด (Thaifammed Database),3750,7983,47.0%,รวม วว. และ อว. ทั่วประเทศ
สมาชิกที่อัปเดตข้อมูลรายละเอียดใน Google Sheet แล้ว,314,1626,19.3%,มีข้อมูลที่อยู่ การศึกษา และรูปถ่าย
แพทย์ที่จับคู่ตรงกันระหว่าง Thaifammed และ Sheet,295,314,93.9%,จับคู่ด้วยชื่อ-สกุล และเลข ว.
สมาชิกที่มีรูปถ่ายใน Google Drive,275,314,87.6%,แสดงผลรูปภาพผ่าน Google Drive CDN
สมาชิกที่มีพิกัดแผนที่ (Geocoded Coordinates),312,314,99.4%,ปักหมุดบน OpenStreetMap
ฐานข้อมูลสถานบริการสุขภาพของรัฐหลัก,135,135,100.0%,"รพศ., รพท., รพ.มหาวิทยาลัย ครบทุกเขต"
